Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","D_Small","D_SOD-123",-180.848000,-86.106000,90.000000,bottom
"D2","D_Small","D_SOD-123",-199.898000,-86.106000,90.000000,bottom
"D3","D_Small","D_SOD-123",-218.948000,-86.106000,90.000000,bottom
"D4","D_Small","D_SOD-123",-180.721000,-105.029000,90.000000,bottom
"D5","D_Small","D_SOD-123",-199.898000,-105.029000,90.000000,bottom
"D6","D_Small","D_SOD-123",-218.948000,-105.029000,90.000000,bottom
"D7","D_Small","D_SOD-123",-222.631000,-96.393000,90.000000,bottom
"D8","D_Small","D_SOD-123",-180.848000,-123.825000,90.000000,bottom
"D9","D_Small","D_SOD-123",-199.898000,-123.952000,90.000000,bottom
"D10","D_Small","D_SOD-123",-218.948000,-123.825000,90.000000,bottom
"D11","D_Small","D_SOD-123",-190.246000,-142.875000,90.000000,bottom
"D12","D_Small","D_SOD-123",-218.948000,-142.875000,90.000000,bottom
"D13","D_Small","D_SOD-123",-222.377000,-134.239000,90.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",-172.597000,-48.701000,0.000000,bottom
